GeographyCode,KS101EW0001,KS101EW0002,KS101EW0003,KS101EW0004,KS101EW0005,KS101EW0006,KS101EW0007,KS101EW0008,KS101EW0009,KS101EW0010,KS101EW0011,KS101EW0012
E00041565,282,133,149,279,3,0,7.11,39.66244726,47.16312057,52.83687943,98.93617021,1.063829787
E00041566,304,136,168,304,0,0,4.69,64.81876333,44.73684211,55.26315789,100,0
E00041567,221,115,106,221,0,1,3.75,58.93333333,52.0361991,47.9638009,100,0
E00041568,238,111,127,238,0,8,5.13,46.39376218,46.63865546,53.36134454,100,0
E00041569,258,137,121,258,0,0,3.09,83.49514563,53.10077519,46.89922481,100,0
E00041570,289,137,152,289,0,5,4.77,60.5870021,47.40484429,52.59515571,100,0
E00041571,270,136,134,270,0,3,2.22,121.6216216,50.37037037,49.62962963,100,0
E00041572,300,143,157,300,0,1,3.45,86.95652174,47.66666667,52.33333333,100,0
E00041573,311,156,155,311,0,0,2.7,115.1851852,50.1607717,49.8392283,100,0
E00041574,321,150,171,321,0,1,10.55,30.42654028,46.72897196,53.27102804,100,0
E00041575,292,137,155,292,0,2,4.93,59.22920892,46.91780822,53.08219178,100,0
E00041576,339,153,186,303,36,2,5.49,61.74863388,45.13274336,54.86725664,89.38053097,10.61946903
E00041577,323,158,165,323,0,0,3.59,89.97214485,48.91640867,51.08359133,100,0
E00041578,388,193,195,388,0,10,5.01,77.44510978,49.74226804,50.25773196,100,0
E00041579,322,139,183,322,0,0,5.11,63.01369863,43.16770186,56.83229814,100,0
E00041580,279,133,146,279,0,0,4.15,67.22891566,47.6702509,52.3297491,100,0
E00041581,251,133,118,251,0,0,6.99,35.90844063,52.98804781,47.01195219,100,0
E00041582,365,166,199,365,0,2,6.02,60.63122924,45.47945205,54.52054795,100,0
E00041583,242,120,122,242,0,1,2.3,105.2173913,49.58677686,50.41322314,100,0
E00041584,338,158,180,338,0,4,4.24,79.71698113,46.74556213,53.25443787,100,0
E00041585,350,162,188,350,0,2,10.04,34.86055777,46.28571429,53.71428571,100,0
E00041586,341,168,173,295,46,2,5.84,58.39041096,49.26686217,50.73313783,86.51026393,13.48973607
E00041587,289,156,133,289,0,0,2.28,126.754386,53.97923875,46.02076125,100,0
E00041588,232,121,111,232,0,0,3.68,63.04347826,52.15517241,47.84482759,100,0
E00041589,301,165,136,301,0,2,1.66,181.3253012,54.81727575,45.18272425,100,0
E00041590,263,131,132,263,0,1,2.9,90.68965517,49.80988593,50.19011407,100,0
E00041591,376,170,206,376,0,0,7.72,48.70466321,45.21276596,54.78723404,100,0
E00041592,260,136,124,260,0,0,4.09,63.56968215,52.30769231,47.69230769,100,0
E00041593,192,84,108,192,0,2,2.54,75.59055118,43.75,56.25,100,0
E00041594,320,152,168,320,0,0,4.11,77.85888078,47.5,52.5,100,0
E00041595,242,120,122,242,0,0,3.04,79.60526316,49.58677686,50.41322314,100,0
E00041596,267,137,130,267,0,4,2.49,107.2289157,51.31086142,48.68913858,100,0
E00041597,297,137,160,297,0,5,3.65,81.36986301,46.12794613,53.87205387,100,0
E00041598,272,148,124,272,0,0,4.88,55.73770492,54.41176471,45.58823529,100,0
